Unnamed: 0,protein_id_x,transcript_id,rNC1,rNC2,rKD1,rKD2,NC1,NC2,NC3,KD1,KD2,KD3,protein_id_y,High_Pause_Countsc18nc,protein_id,High_Pause_Countsc18ko
11756,ENSMUSP00000059038,ENSMUST00000054920,17,14,16,11,45.1,46.7,43.8,47.0,41.8,45.5,ENSMUSP00000059038,68.0,ENSMUSP00000059038,53.5
11770,ENSMUSP00000059095,ENSMUST00000060108,89,93,132,117,642.6,596.0,624.8,554.5,547.3,490.3,ENSMUSP00000059095,26.0,ENSMUSP00000059095,34.0
11778,ENSMUSP00000059139,ENSMUST00000051758,1,0,4,3,630.1,559.5,585.2,590.4,680.3,529.4,ENSMUSP00000059139,4.5,,0.0
11780,ENSMUSP00000059143,ENSMUST00000051888,2,7,17,13,54.2,49.9,53.3,45.3,54.2,55.1,ENSMUSP00000059143,31.0,ENSMUSP00000059143,35.0
11782,ENSMUSP00000059159,ENSMUST00000053364,158,131,265,199,121.4,103.8,109.0,93.9,113.9,113.8,ENSMUSP00000059159,237.0,ENSMUSP00000059159,621.0
11783,ENSMUSP00000059166,ENSMUST00000051169,70,82,163,126,81.7,61.8,65.3,84.7,123.4,120.4,ENSMUSP00000059166,130.5,ENSMUSP00000059166,171.5
11784,ENSMUSP00000059167,ENSMUST00000061937,80,70,77,92,234.9,215.1,220.1,213.2,222.8,179.5,ENSMUSP00000059167,25.0,ENSMUSP00000059167,44.5
11785,ENSMUSP00000059173,ENSMUST00000062789,22,10,28,19,32.3,31.2,31.2,26.1,27.4,24.2,ENSMUSP00000059173,64.5,ENSMUSP00000059173,69.5
11787,ENSMUSP00000059192,ENSMUST00000053266,692,634,773,625,4884.4,4533.7,4785.1,3671.0,3649.0,3175.7,ENSMUSP00000059192,38.5,ENSMUSP00000059192,24.5
11791,ENSMUSP00000059211,ENSMUST00000054835,1,3,10,7,43.8,41.6,46.8,46.3,42.7,36.6,ENSMUSP00000059211,12.0,ENSMUSP00000059211,48.5
11793,ENSMUSP00000059224,ENSMUST00000058265,86,69,142,99,262.3,252.4,255.1,225.8,229.4,201.2,ENSMUSP00000059224,18.0,ENSMUSP00000059224,35.5
11802,ENSMUSP00000059289,ENSMUST00000057481,312,267,543,465,1608.9,1578.6,1568.7,1660.6,1614.7,1410.4,ENSMUSP00000059289,68.5,ENSMUSP00000059289,73.5
11805,ENSMUSP00000059304,ENSMUST00000050207,53,39,93,72,380.7,396.7,366.6,431.7,412.4,371.2,ENSMUSP00000059304,23.5,ENSMUSP00000059304,65.0
11810,ENSMUSP00000059330,ENSMUST00000055843,7,6,17,8,26.2,31.5,28.5,35.4,29.3,24.8,ENSMUSP00000059330,54.0,ENSMUSP00000059330,79.0
11813,ENSMUSP00000059382,ENSMUST00000052209,90,86,91,66,71.6,67.7,69.9,45.4,42.3,37.3,ENSMUSP00000059382,5.0,ENSMUSP00000059382,24.0
11814,ENSMUSP00000059385,ENSMUST00000052965,285,243,577,463,2627.4,2353.3,2495.2,2475.8,2349.1,2191.7,ENSMUSP00000059385,240.0,ENSMUSP00000059385,337.0
11817,ENSMUSP00000059395,ENSMUST00000050328,18,9,23,26,2873.2,2775.1,2868.3,2878.0,2799.1,2341.4,ENSMUSP00000059395,8.5,ENSMUSP00000059395,28.0
11819,ENSMUSP00000059404,ENSMUST00000051301,107,84,121,111,1786.5,1889.1,1825.8,1486.6,1332.7,1167.5,ENSMUSP00000059404,19.5,ENSMUSP00000059404,32.5
11822,ENSMUSP00000059419,ENSMUST00000062213,39,17,54,32,363.9,326.6,340.4,359.3,368.0,338.4,ENSMUSP00000059419,17.5,ENSMUSP00000059419,56.0
11828,ENSMUSP00000059457,ENSMUST00000061639,213,185,259,216,223.7,213.2,231.7,204.8,163.3,186.1,ENSMUSP00000059457,51.5,ENSMUSP00000059457,29.0
11835,ENSMUSP00000059494,ENSMUST00000062677,83,75,147,113,168.9,173.4,171.4,174.5,168.3,150.1,ENSMUSP00000059494,12.0,ENSMUSP00000059494,18.5
11839,ENSMUSP00000059501,ENSMUST00000059983,185,137,178,138,453.3,478.8,445.1,397.7,369.6,370.2,ENSMUSP00000059501,2.0,ENSMUSP00000059501,11.5
11842,ENSMUSP00000059533,ENSMUST00000050867,51,46,84,79,263.9,245.5,265.8,263.5,256.5,240.6,ENSMUSP00000059533,103.5,ENSMUSP00000059533,26.0
11868,ENSMUSP00000059666,ENSMUST00000052932,53,39,80,60,370.5,360.6,367.4,382.9,371.0,336.3,ENSMUSP00000059666,68.0,ENSMUSP00000059666,73.0
11871,ENSMUSP00000059678,ENSMUST00000061875,253,221,461,360,1015.8,897.0,948.6,1239.9,1200.0,1052.4,ENSMUSP00000059678,29.0,ENSMUSP00000059678,39.5
11881,ENSMUSP00000059717,ENSMUST00000057725,500,452,724,566,3183.1,2896.7,3114.8,2517.3,2449.1,2059.5,ENSMUSP00000059717,9.5,ENSMUSP00000059717,0.0
11894,ENSMUSP00000059766,ENSMUST00000054544,21,14,32,32,2126.2,2034.1,2081.6,1919.3,1897.9,1575.4,ENSMUSP00000059766,11.0,ENSMUSP00000059766,12.0
11901,ENSMUSP00000059783,ENSMUST00000055984,13,11,21,24,72.1,67.4,71.2,75.9,79.2,61.9,ENSMUSP00000059783,59.5,ENSMUSP00000059783,21.0
11903,ENSMUSP00000059798,ENSMUST00000059555,7,5,5,8,15.1,13.9,17.8,13.6,13.4,11.8,ENSMUSP00000059798,17.0,ENSMUSP00000059798,33.5
11915,ENSMUSP00000059880,ENSMUST00000052355,116,93,215,149,819.3,778.0,852.2,751.5,742.9,615.4,ENSMUSP00000059880,5.5,ENSMUSP00000059880,51.5
11916,ENSMUSP00000059883,ENSMUST00000055458,39,36,80,69,42.5,40.1,36.9,57.8,49.7,51.4,ENSMUSP00000059883,26.0,ENSMUSP00000059883,16.0
11919,ENSMUSP00000059894,ENSMUST00000058679,48,44,66,49,311.0,313.4,307.3,291.4,259.2,251.3,ENSMUSP00000059894,28.5,ENSMUSP00000059894,31.0
11928,ENSMUSP00000059947,ENSMUST00000053230,8,6,17,10,9.2,13.5,10.6,12.3,12.1,12.5,ENSMUSP00000059947,39.5,ENSMUSP00000059947,105.5
11932,ENSMUSP00000059977,ENSMUST00000062069,75,54,71,71,421.0,394.9,398.2,332.3,332.3,290.0,ENSMUSP00000059977,43.5,ENSMUSP00000059977,78.0
11940,ENSMUSP00000060026,ENSMUST00000060435,33,37,74,60,44.1,49.0,45.5,60.5,56.3,55.7,ENSMUSP00000060026,60.5,ENSMUSP00000060026,21.0
11942,ENSMUSP00000060028,ENSMUST00000061283,101,77,144,150,498.8,515.6,496.4,546.0,513.6,469.2,ENSMUSP00000060028,29.0,ENSMUSP00000060028,25.5
11950,ENSMUSP00000060103,ENSMUST00000053434,96,80,170,150,338.2,318.1,335.9,400.3,367.7,362.4,ENSMUSP00000060103,22.5,ENSMUSP00000060103,126.0
11953,ENSMUSP00000060118,ENSMUST00000060188,50,46,63,57,662.7,658.5,674.1,692.4,609.8,564.5,ENSMUSP00000060118,14.5,ENSMUSP00000060118,22.0
11970,ENSMUSP00000060202,ENSMUST00000053686,57,43,120,94,160.1,151.2,149.3,161.9,159.7,144.4,ENSMUSP00000060202,17.0,ENSMUSP00000060202,17.0
11974,ENSMUSP00000060225,ENSMUST00000050916,27,12,35,43,181.2,180.0,183.7,228.0,200.7,191.8,ENSMUSP00000060225,55.0,ENSMUSP00000060225,93.5
11975,ENSMUSP00000060227,ENSMUST00000053536,5,9,19,11,80.0,85.7,84.4,88.4,73.5,56.6,ENSMUSP00000060227,49.5,ENSMUSP00000060227,64.5
11978,ENSMUSP00000060233,ENSMUST00000058444,16,11,29,24,109.7,96.4,111.0,119.8,119.8,111.4,ENSMUSP00000060233,94.5,ENSMUSP00000060233,0.0
11980,ENSMUSP00000060246,ENSMUST00000056427,73,76,96,78,630.1,629.7,615.3,584.7,513.2,474.1,ENSMUSP00000060246,59.0,ENSMUSP00000060246,30.5
11988,ENSMUSP00000060309,ENSMUST00000061391,0,0,0,0,78.7,77.2,79.7,72.9,60.8,57.3,,0.0,ENSMUSP00000060309,41.0
12002,ENSMUSP00000060398,ENSMUST00000061618,25,25,68,51,290.9,286.5,305.3,341.8,284.8,270.3,ENSMUSP00000060398,116.5,ENSMUSP00000060398,170.0
12008,ENSMUSP00000060421,ENSMUST00000050148,30,30,52,31,217.6,239.5,224.3,268.9,173.5,222.5,ENSMUSP00000060421,39.5,ENSMUSP00000060421,37.5
12011,ENSMUSP00000060433,ENSMUST00000061986,18,10,29,22,76.8,71.0,77.0,73.0,72.3,65.0,ENSMUSP00000060433,56.0,ENSMUSP00000060433,5.5
12016,ENSMUSP00000060462,ENSMUST00000061156,27,28,44,34,172.7,150.2,157.2,153.8,162.0,128.0,ENSMUSP00000060462,19.5,ENSMUSP00000060462,20.5
12025,ENSMUSP00000060523,ENSMUST00000053150,0,0,1,0,1066.6,930.9,1008.7,1094.5,1101.6,963.4,,0.0,,0.0
12029,ENSMUSP00000060558,ENSMUST00000056972,33,26,64,66,66.5,69.3,63.0,75.8,77.8,61.1,ENSMUSP00000060558,125.0,ENSMUSP00000060558,106.5
12038,ENSMUSP00000060613,ENSMUST00000052120,156,136,342,250,1003.0,1050.4,1038.2,1145.8,1083.9,951.7,ENSMUSP00000060613,65.5,ENSMUSP00000060613,64.0
12040,ENSMUSP00000060619,ENSMUST00000063021,100,83,193,132,1752.9,1616.7,1698.8,1692.2,1579.9,1449.8,ENSMUSP00000060619,94.0,ENSMUSP00000060619,199.5
12045,ENSMUSP00000060671,ENSMUST00000059768,57,55,85,46,476.7,483.5,478.9,442.1,422.1,373.1,ENSMUSP00000060671,25.0,ENSMUSP00000060671,52.5
12047,ENSMUSP00000060721,ENSMUST00000052183,47,45,99,93,78.0,77.1,71.4,86.0,72.9,80.9,ENSMUSP00000060721,44.0,ENSMUSP00000060721,9.5
12049,ENSMUSP00000060730,ENSMUST00000055144,63,66,138,131,503.2,531.8,495.8,547.5,510.7,481.3,ENSMUSP00000060730,17.5,ENSMUSP00000060730,37.5
12050,ENSMUSP00000060732,ENSMUST00000058981,133,125,230,183,466.6,456.6,467.2,418.5,395.4,344.2,ENSMUSP00000060732,1.0,ENSMUSP00000060732,36.5
12053,ENSMUSP00000060749,ENSMUST00000052346,46,30,69,57,191.2,185.7,186.3,224.6,220.8,204.7,ENSMUSP00000060749,215.0,ENSMUSP00000060749,99.5
12054,ENSMUSP00000060761,ENSMUST00000056403,133,119,191,123,20.1,16.2,19.0,22.1,22.2,25.5,ENSMUSP00000060761,11.5,ENSMUSP00000060761,5.0
12057,ENSMUSP00000060771,ENSMUST00000056950,17,10,19,14,47.7,52.3,59.1,47.4,52.1,50.9,ENSMUSP00000060771,90.5,ENSMUSP00000060771,146.0
12060,ENSMUSP00000060779,ENSMUST00000053265,44,42,76,69,103.8,122.0,115.2,128.1,130.3,120.0,ENSMUSP00000060779,8.0,ENSMUSP00000060779,9.0
12068,ENSMUSP00000060803,ENSMUST00000051395,146,137,218,137,117.4,116.7,120.4,112.4,93.2,85.7,ENSMUSP00000060803,33.0,ENSMUSP00000060803,32.5
12071,ENSMUSP00000060835,ENSMUST00000057454,37,33,41,30,165.1,141.2,164.0,109.6,118.8,100.3,ENSMUSP00000060835,4.5,,0.0
12078,ENSMUSP00000060858,ENSMUST00000055296,292,248,603,435,902.7,841.0,860.5,872.0,863.9,773.0,ENSMUSP00000060858,107.5,ENSMUSP00000060858,60.0
12089,ENSMUSP00000060930,ENSMUST00000059619,74,69,92,62,181.8,171.7,169.0,164.3,145.8,141.8,ENSMUSP00000060930,27.0,ENSMUSP00000060930,16.0
12091,ENSMUSP00000060941,ENSMUST00000058720,58,46,92,63,220.4,221.8,226.4,209.7,204.0,195.2,ENSMUSP00000060941,65.0,ENSMUSP00000060941,13.5
12100,ENSMUSP00000061012,ENSMUST00000050884,26,22,34,34,956.2,947.9,949.7,850.2,720.5,655.7,ENSMUSP00000061012,14.0,ENSMUSP00000061012,17.5
12101,ENSMUSP00000061014,ENSMUST00000053969,75,45,94,67,34.4,36.1,37.1,41.1,33.8,31.9,ENSMUSP00000061014,199.0,ENSMUSP00000061014,130.5
12105,ENSMUSP00000061062,ENSMUST00000050104,123,109,234,179,265.2,252.0,252.7,320.8,303.8,259.4,ENSMUSP00000061062,13.0,ENSMUSP00000061062,52.5
12111,ENSMUSP00000061092,ENSMUST00000058030,206,198,306,259,1541.5,1438.3,1455.0,1261.1,1258.8,1080.5,ENSMUSP00000061092,16.0,ENSMUSP00000061092,47.5
12112,ENSMUSP00000061095,ENSMUST00000055032,0,0,0,0,57.5,53.9,59.2,58.5,50.7,45.2,,0.0,ENSMUSP00000061095,190.0
12113,ENSMUSP00000061100,ENSMUST00000061446,0,0,1,4,47.9,49.9,45.4,72.8,66.7,59.4,,0.0,ENSMUSP00000061100,35.5
12121,ENSMUSP00000061167,ENSMUST00000052499,114,92,180,146,366.2,345.1,350.3,412.8,395.0,348.3,ENSMUSP00000061167,10.0,ENSMUSP00000061167,0.0
12129,ENSMUSP00000061221,ENSMUST00000053094,9,7,13,9,32.0,45.7,41.7,49.1,38.6,33.6,ENSMUSP00000061221,57.0,ENSMUSP00000061221,96.5
12130,ENSMUSP00000061227,ENSMUST00000058351,230,199,407,397,3342.4,3408.7,3270.4,3656.3,3292.7,3008.7,ENSMUSP00000061227,26.5,ENSMUSP00000061227,103.0
12132,ENSMUSP00000061234,ENSMUST00000053713,12,13,26,24,353.9,347.1,362.3,379.6,349.1,330.0,ENSMUSP00000061234,77.0,ENSMUSP00000061234,37.0
12137,ENSMUSP00000061264,ENSMUST00000061859,20,10,46,32,304.1,286.5,291.0,368.6,366.0,331.6,ENSMUSP00000061264,40.5,ENSMUSP00000061264,33.5
12140,ENSMUSP00000061282,ENSMUST00000054098,9,5,22,9,117.6,169.3,133.1,145.7,142.0,118.8,ENSMUSP00000061282,35.0,ENSMUSP00000061282,55.5
12143,ENSMUSP00000061308,ENSMUST00000058022,12,9,21,22,178.8,168.2,169.8,177.4,173.1,166.9,ENSMUSP00000061308,82.5,ENSMUSP00000061308,122.0
12144,ENSMUSP00000061317,ENSMUST00000056601,198,161,306,220,307.1,288.9,297.6,317.7,286.4,264.2,ENSMUSP00000061317,52.5,ENSMUSP00000061317,48.0
