protein_id,High_Pause_Counts,transcript_id_x
ENSP00000216479.3,11,ENST00000216479.8
ENSP00000216484.2,13,ENST00000216484.7
ENSP00000216489.3,19,ENST00000216489.8
ENSP00000216513.4,39,ENST00000216513.5
ENSP00000216602.6,17,ENST00000216602.10
ENSP00000216727.4,34,ENST00000216727.9
ENSP00000216774.6,0,ENST00000216774.11
ENSP00000216807.6,1,ENST00000216807.12
ENSP00000216832.4,26,ENST00000216832.9
ENSP00000216962.3,18,ENST00000216962.9
ENSP00000216968.3,13,ENST00000216968.5
ENSP00000217026.4,18,ENST00000217026.5
ENSP00000217109.4,12,ENST00000217109.9
ENSP00000217121.5,0,ENST00000217121.9
ENSP00000217173.2,21,ENST00000217173.7
ENSP00000217195.8,11,ENST00000217195.12
ENSP00000217381.2,26,ENST00000217381.3
ENSP00000217402.2,3,ENST00000217402.3
ENSP00000217426.2,5,ENST00000217426.7
ENSP00000217446.3,17,ENST00000217446.8
ENSP00000217455.4,15,ENST00000217455.9
ENSP00000217456.2,12,ENST00000217456.3
ENSP00000217515.5,6,ENST00000217515.11
ENSP00000217901.5,0,ENST00000217901.10
ENSP00000217958.3,9,ENST00000217958.8
ENSP00000217971.7,11,ENST00000217971.8
ENSP00000218056.5,20,ENST00000218056.9
ENSP00000218104.3,167,ENST00000218104.6
ENSP00000218197.5,0,ENST00000218197.9
ENSP00000218340.3,12,ENST00000218340.4
ENSP00000218348.3,0,ENST00000218348.7
ENSP00000218364.4,5,ENST00000218364.5
ENSP00000218516.4,2,ENST00000218516.4
ENSP00000218548.6,33,ENST00000218548.10
ENSP00000218652.7,10,ENST00000218652.11
ENSP00000219066.1,13,ENST00000219066.5
ENSP00000219097.2,14,ENST00000219097.7
ENSP00000219139.3,24,ENST00000219139.8
ENSP00000219204.3,3,ENST00000219204.8
ENSP00000219240.4,13,ENST00000219240.9
ENSP00000219252.4,4,ENST00000219252.10
ENSP00000219302.3,0,ENST00000219302.8
ENSP00000219313.4,2,ENST00000219313.9
ENSP00000219343.6,29,ENST00000219343.11
ENSP00000219345.5,25,ENST00000219345.10
ENSP00000219431.4,11,ENST00000219431.4
ENSP00000219439.4,13,ENST00000219439.9
ENSP00000219476.3,80,ENST00000219476.9
ENSP00000219548.4,0,ENST00000219548.9
ENSP00000219611.2,41,ENST00000219611.7
ENSP00000219782.6,15,ENST00000219782.10
ENSP00000219794.6,20,ENST00000219794.11
ENSP00000219837.7,30,ENST00000219837.12
ENSP00000220325.4,16,ENST00000220325.9
ENSP00000220496.4,9,ENST00000220496.9
ENSP00000220509.5,27,ENST00000220509.10
ENSP00000220514.3,13,ENST00000220514.8
ENSP00000220592.5,42,ENST00000220592.10
ENSP00000220597.3,46,ENST00000220597.4
ENSP00000220669.5,13,ENST00000220669.10
ENSP00000220751.4,82,ENST00000220751.5
ENSP00000220764.2,8,ENST00000220764.7
ENSP00000220853.3,15,ENST00000220853.8
ENSP00000220913.5,1,ENST00000220913.10
ENSP00000221114.3,20,ENST00000221114.8
ENSP00000221130.5,13,ENST00000221130.11
ENSP00000221138.4,16,ENST00000221138.9
ENSP00000221166.5,12,ENST00000221166.10
ENSP00000221233.3,20,ENST00000221233.9
ENSP00000221265.2,0,ENST00000221265.8
ENSP00000221455.3,19,ENST00000221455.8
ENSP00000221476.2,27,ENST00000221476.4
ENSP00000221486.4,27,ENST00000221486.6
ENSP00000221494.3,42,ENST00000221494.10
ENSP00000221543.4,54,ENST00000221543.10
ENSP00000221561.7,20,ENST00000221561.12
